accuracy,loss
"[0.6835443037974683, 0.7899525316455697, 0.8449367088607594, 0.8748022151898734, 0.8957674050632911, 0.9080300632911392, 0.9189082278481012, 0.9363132911392406, 0.9396756329113924, 0.9511471518987342, 0.9505537974683544, 0.959256329113924, 0.9543117088607594, 0.9659810126582279, 0.9675632911392406, 0.9713212025316456, 0.9679588607594937]","[0.7770906458549862, 0.5326364457230025, 0.40577981385249123, 0.3270441780361948, 0.27663081992841976, 0.24809514438804192, 0.22230913282572468, 0.18304206685552113, 0.15678258130586223, 0.13859720271127887, 0.13154150640497667, 0.11149031859881516, 0.11790094001784543, 0.09805862216538266, 0.09670143621337093, 0.08505429625010141, 0.0896506293682688]"
"[0.7916666666666666, 0.5902777777777778, 0.8541666666666666, 0.8802083333333334, 0.921875, 0.9357638888888888, 0.9253472222222222, 0.9496527777777778, 0.953125, 0.9305555555555556, 0.8194444444444444, 0.9600694444444444, 0.9184027777777778, 0.8645833333333334, 0.9548611111111112, 0.8090277777777778, 0.9635416666666666]","[0.5129381343722343, 1.2309564913933475, 0.3618242107331753, 0.301318421959877, 0.20504245844980082, 0.18949949586143097, 0.22103907100649345, 0.16807050858106878, 0.14230320199082294, 0.20319447418053946, 0.4388866067230184, 0.13288193100339007, 0.21852338148487938, 0.5418554133211728, 0.16228759246102223, 0.8607435508048285, 0.13842940900940448]"
