accuracy,loss
"[0.7304193037974683, 0.836629746835443, 0.8789556962025317, 0.8945806962025317, 0.9183148734177216, 0.9222705696202531, 0.9361155063291139, 0.9402689873417721, 0.944620253164557, 0.9501582278481012, 0.9572784810126582, 0.9586629746835443, 0.9691455696202531, 0.959256329113924, 0.9707278481012658, 0.9681566455696202, 0.9740901898734177, 0.9717167721518988]","[0.6997548898186865, 0.4296972532815571, 0.34811635645507255, 0.3023844789949399, 0.23585528503113154, 0.22146430128265784, 0.18407329023355926, 0.1739006827502877, 0.1648321356270698, 0.13094485229282063, 0.12808763015944558, 0.12288513930538032, 0.09794228759158073, 0.10893068225064044, 0.08712731572929062, 0.08824749359318727, 0.08170212427437117, 0.08276299318840986]"
"[0.7899305555555556, 0.8246527777777778, 0.890625, 0.8888888888888888, 0.8854166666666666, 0.9236111111111112, 0.9097222222222222, 0.7743055555555556, 0.9427083333333334, 0.9357638888888888, 0.9479166666666666, 0.9461805555555556, 0.9565972222222222, 0.9149305555555556, 0.9479166666666666, 0.9392361111111112, 0.9027777777777778, 0.953125]","[0.5102344387107425, 0.44707875698804855, 0.3322020640286307, 0.31152169033885, 0.2858593691036933, 0.1727006569918659, 0.24315583229892784, 0.6486386940814555, 0.1570437526744273, 0.1887245333701786, 0.14920398536034757, 0.15314951911568642, 0.11297196480962965, 0.30551915595100987, 0.18788025616150764, 0.19297161840626764, 0.2416008628723729, 0.1311088322351376]"
